P1_WINS,MINUTES,T_NAME,SURFACE,P1_NAME,P2_NAME,P1_RANK,P2_RANK,T_DATE,P1_AGE,P2_AGE
1,51.0,Indian Wells Masters,Hard,Marinko Matosevic,Michael Llodra,240,65,2010-03-11,24,29
0,116.0,Indian Wells Masters,Hard,Horacio Zeballos,Ricardo Mello,50,109,2010-03-11,24,29
1,67.0,Indian Wells Masters,Hard,Paul Henri Mathieu,Benjamin Becker,41,39,2010-03-11,28,28
1,58.0,Indian Wells Masters,Hard,Evgeny Korolev,Florian Mayer,57,53,2010-03-11,22,26
0,98.0,Indian Wells Masters,Hard,Marco Chiudinelli,Ernests Gulbis,56,45,2010-03-11,28,21
1,85.0,Indian Wells Masters,Hard,Pablo Cuevas,Frederico Gil,47,104,2010-03-11,24,24
0,53.0,Indian Wells Masters,Hard,Alejandro Falla,Florent Serra,71,63,2010-03-11,26,29
0,125.0,Indian Wells Masters,Hard,Andreas Beck,Ramon Delgado,48,165,2010-03-11,24,33
1,73.0,Indian Wells Masters,Hard,Kevin Anderson,Bjorn Phau,127,112,2010-03-11,23,30
0,115.0,Indian Wells Masters,Hard,Bobby Reynolds,Mario Ancic,414,694,2010-03-11,27,25
1,76.0,Indian Wells Masters,Hard,Rainer Schuettler,Thiago Alves,90,129,2010-03-11,33,27
1,144.0,Indian Wells Masters,Hard,Guillermo Garcia Lopez,Lukas Lacko,49,60,2010-03-11,26,22
1,140.0,Indian Wells Masters,Hard,Carlos Moya,Tim Smyczek,639,295,2010-03-11,33,22
1,131.0,Indian Wells Masters,Hard,Fabio Fognini,Olivier Rochus,55,59,2010-03-11,22,29
1,49.0,Indian Wells Masters,Hard,Daniel Koellerer,Rajeev Ram,96,79,2010-03-11,26,25
0,95.0,Indian Wells Masters,Hard,Leonardo Mayer,Brian Dabul,66,175,2010-03-11,22,26
0,71.0,Indian Wells Masters,Hard,Taylor Dent,Ryan Harrison,77,284,2010-03-11,28,17
0,83.0,Indian Wells Masters,Hard,Christophe Rochus,Philipp Petzschner,136,54,2010-03-11,31,25
1,95.0,Indian Wells Masters,Hard,Mardy Fish,Michael Berrer,106,51,2010-03-11,28,29
1,117.0,Indian Wells Masters,Hard,Roger Federer,Victor Hanescu,1,43,2010-03-11,28,28
1,119.0,Indian Wells Masters,Hard,Marcos Baghdatis,Arnaud Clement,33,76,2010-03-11,24,32
0,115.0,Indian Wells Masters,Hard,Sergiy Stakhovsky,Tommy Robredo,70,23,2010-03-11,24,27
1,104.0,Indian Wells Masters,Hard,Dudi Sela,Radek Stepanek,72,17,2010-03-11,24,31
1,100.0,Indian Wells Masters,Hard,Simon Greul,Gael Monfils,58,15,2010-03-11,28,23
0,69.0,Indian Wells Masters,Hard,David Nalbandian,Jurgen Melzer,139,28,2010-03-11,28,28
0,79.0,Indian Wells Masters,Hard,Yen Hsun Lu,Andy Roddick,103,8,2010-03-11,26,27
0,86.0,Indian Wells Masters,Hard,Andreas Seppi,Andy Murray,46,4,2010-03-11,26,22
0,110.0,Indian Wells Masters,Hard,Igor Andreev,Michael Russell,38,68,2010-03-11,26,31
0,102.0,Indian Wells Masters,Hard,Ivo Karlovic,Nicolas Almagro,29,40,2010-03-11,31,24
0,62.0,Indian Wells Masters,Hard,David Ferrer,James Blake,16,52,2010-03-11,27,30
0,63.0,Indian Wells Masters,Hard,Marinko Matosevic,Jo-Wilfried Tsonga,240,11,2010-03-11,24,24
0,129.0,Indian Wells Masters,Hard,Ricardo Mello,Albert Montanes,109,30,2010-03-11,29,29
0,130.0,Indian Wells Masters,Hard,Paul Henri Mathieu,Feliciano Lopez,41,34,2010-03-11,28,28
0,72.0,Indian Wells Masters,Hard,Evgeny Korolev,Robin Soderling,57,7,2010-03-11,22,25
1,94.0,Indian Wells Masters,Hard,Nikolay Davydenko,Ernests Gulbis,6,45,2010-03-11,28,21
0,137.0,Indian Wells Masters,Hard,Florent Serra,Tomas Berdych,63,25,2010-03-11,29,24
1,89.0,Indian Wells Masters,Hard,Fernando Verdasco,Ramon Delgado,12,165,2010-03-11,26,33
0,70.0,Indian Wells Masters,Hard,Kevin Anderson,John Isner,127,20,2010-03-11,23,24
1,55.0,Indian Wells Masters,Hard,Sam Querrey,Jeremy Chardy,22,44,2010-03-11,22,23
1,161.0,Indian Wells Masters,Hard,Mario Ancic,Julien Benneteau,694,37,2010-03-11,25,28
1,94.0,Indian Wells Masters,Hard,Rafael Nadal,Rainer Schuettler,3,90,2010-03-11,23,33
1,92.0,Indian Wells Masters,Hard,Guillermo Garcia Lopez,Marin Cilic,49,9,2010-03-11,26,21
0,99.0,Indian Wells Masters,Hard,Fabio Fognini,Juan Monaco,55,27,2010-03-11,22,25
0,50.0,Indian Wells Masters,Hard,Daniel Koellerer,Juan Carlos Ferrero,96,14,2010-03-11,26,30
1,91.0,Indian Wells Masters,Hard,Brian Dabul,Gilles Simon,175,21,2010-03-11,26,25
1,95.0,Indian Wells Masters,Hard,Ivan Ljubicic,Ryan Harrison,26,284,2010-03-11,30,17
1,65.0,Indian Wells Masters,Hard,Philipp Kohlschreiber,Philipp Petzschner,31,54,2010-03-11,26,25
0,102.0,Indian Wells Masters,Hard,Mardy Fish,Novak Djokovic,106,2,2010-03-11,28,22
0,142.0,Indian Wells Masters,Hard,Roger Federer,Marcos Baghdatis,1,33,2010-03-11,28,24
0,68.0,Indian Wells Masters,Hard,Dudi Sela,Tommy Robredo,72,23,2010-03-11,24,27
0,75.0,Indian Wells Masters,Hard,Thiemo De Bakker,Andy Roddick,73,8,2010-03-11,21,27
1,113.0,Indian Wells Masters,Hard,Andy Murray,Michael Russell,4,68,2010-03-11,22,31
1,113.0,Indian Wells Masters,Hard,Nicolas Almagro,James Blake,40,52,2010-03-11,24,30
0,107.0,Indian Wells Masters,Hard,Albert Montanes,Jo-Wilfried Tsonga,30,11,2010-03-11,29,24
1,85.0,Indian Wells Masters,Hard,Robin Soderling,Feliciano Lopez,7,34,2010-03-11,25,28
0,59.0,Indian Wells Masters,Hard,Fernando Verdasco,Tomas Berdych,12,25,2010-03-11,26,24
1,73.0,Indian Wells Masters,Hard,John Isner,Sam Querrey,20,22,2010-03-11,24,22
1,66.0,Indian Wells Masters,Hard,Rafael Nadal,Mario Ancic,3,694,2010-03-11,23,25
0,125.0,Indian Wells Masters,Hard,Thomaz Bellucci,Guillermo Garcia Lopez,32,49,2010-03-11,22,26
1,181.0,Indian Wells Masters,Hard,Juan Monaco,Juan Carlos Ferrero,27,14,2010-03-11,25,30
1,81.0,Indian Wells Masters,Hard,Ivan Ljubicic,Brian Dabul,26,175,2010-03-11,30,26
0,156.0,Indian Wells Masters,Hard,Philipp Kohlschreiber,Novak Djokovic,31,2,2010-03-11,26,22
0,139.0,Indian Wells Masters,Hard,Marcos Baghdatis,Tommy Robredo,33,23,2010-03-11,24,27
1,91.0,Indian Wells Masters,Hard,Andy Roddick,Jurgen Melzer,8,28,2010-03-11,27,28
1,80.0,Indian Wells Masters,Hard,Robin Soderling,Jo-Wilfried Tsonga,7,11,2010-03-11,25,24
1,71.0,Indian Wells Masters,Hard,Tomas Berdych,Viktor Troicki,25,35,2010-03-11,24,24
1,131.0,Indian Wells Masters,Hard,Rafael Nadal,John Isner,3,20,2010-03-11,23,24
0,125.0,Indian Wells Masters,Hard,Guillermo Garcia Lopez,Juan Monaco,49,27,2010-03-11,26,25
1,105.0,Indian Wells Masters,Hard,Ivan Ljubicic,Novak Djokovic,26,2,2010-03-11,30,22
0,78.0,Indian Wells Masters,Hard,Tommy Robredo,Andy Roddick,23,8,2010-03-11,27,27
1,95.0,Indian Wells Masters,Hard,Robin Soderling,Andy Murray,7,4,2010-03-11,25,22
1,132.0,Indian Wells Masters,Hard,Rafael Nadal,Tomas Berdych,3,25,2010-03-11,23,24
0,108.0,Indian Wells Masters,Hard,Juan Monaco,Ivan Ljubicic,27,26,2010-03-11,25,30
0,107.0,Indian Wells Masters,Hard,Robin Soderling,Andy Roddick,7,8,2010-03-11,25,27
1,155.0,Indian Wells Masters,Hard,Ivan Ljubicic,Rafael Nadal,26,3,2010-03-11,30,23
1,127.0,Indian Wells Masters,Hard,Ivan Ljubicic,Andy Roddick,26,8,2010-03-11,30,27
1,97.0,Miami Masters,Hard,Nicolas Lapentti,Potito Starace,102,73,2010-03-24,33,28
1,72.0,Miami Masters,Hard,Florent Serra,Nicolas Massu,61,89,2010-03-24,29,30
1,91.0,Miami Masters,Hard,Horacio Zeballos,Andreas Seppi,58,47,2010-03-24,24,26
1,71.0,Miami Masters,Hard,Thiemo De Bakker,Rajeev Ram,76,80,2010-03-24,21,26
0,74.0,Miami Masters,Hard,Evgeny Korolev,Dudi Sela,56,71,2010-03-24,22,24
0,128.0,Miami Masters,Hard,Victor Hanescu,Alejandro Falla,42,70,2010-03-24,28,26
1,172.0,Miami Masters,Hard,Juan Ignacio Chela,Paolo Lorenzi,84,90,2010-03-24,30,28
1,81.0,Miami Masters,Hard,Stephane Robert,Andreas Beck,63,50,2010-03-24,29,24
0,100.0,Miami Masters,Hard,Leonardo Mayer,Mardy Fish,60,101,2010-03-24,22,28
1,135.0,Miami Masters,Hard,Michael Berrer,Lukas Lacko,51,62,2010-03-24,29,22
0,56.0,Miami Masters,Hard,Ricardo Mello,Kevin Anderson,106,114,2010-03-24,29,23
0,76.0,Miami Masters,Hard,Marcos Daniel,Santiago Giraldo,110,88,2010-03-24,31,22
1,148.0,Miami Masters,Hard,Yen Hsun Lu,Fabio Fognini,99,54,2010-03-24,26,22
0,60.0,Miami Masters,Hard,Pablo Cuevas,Marsel Ilhan,46,125,2010-03-24,24,22
0,50.0,Miami Masters,Hard,Ryan Sweeting,Philipp Petzschner,159,53,2010-03-24,22,25
0,86.0,Miami Masters,Hard,Oscar Hernandez,Peter Luczak,81,75,2010-03-24,31,30
0,103.0,Miami Masters,Hard,Arnaud Clement,Guillermo Garcia Lopez,79,41,2010-03-24,32,26
0,137.0,Miami Masters,Hard,Marco Chiudinelli,Florian Mayer,57,49,2010-03-24,28,26
1,113.0,Miami Masters,Hard,Michael Russell,Denis Istomin,68,77,2010-03-24,31,23
0,124.0,Miami Masters,Hard,Christophe Rochus,Daniel Koellerer,136,97,2010-03-24,31,26
1,56.0,Miami Masters,Hard,Michael Llodra,Ryan Harrison,65,248,2010-03-24,29,17
0,71.0,Miami Masters,Hard,Andrey Golubev,Daniel Gimeno Traver,93,95,2010-03-24,22,24
1,62.0,Miami Masters,Hard,David Nalbandian,Lukasz Kubot,161,43,2010-03-24,28,27
1,62.0,Miami Masters,Hard,Taylor Dent,Rainer Schuettler,83,87,2010-03-24,28,33
1,64.0,Miami Masters,Hard,Igor Andreev,Xavier Malisse,40,91,2010-03-24,26,29
0,139.0,Miami Masters,Hard,Jan Hajek,Sergiy Stakhovsky,82,72,2010-03-24,26,24
0,111.0,Miami Masters,Hard,Paul Henri Mathieu,Illya Marchenko,44,85,2010-03-24,28,22
1,59.0,Miami Masters,Hard,Benjamin Becker,Simon Greul,39,55,2010-03-24,28,28
0,76.0,Miami Masters,Hard,Mario Ancic,Jeremy Chardy,441,48,2010-03-24,25,23
0,133.0,Miami Masters,Hard,Filip Krajinovic,James Blake,331,52,2010-03-24,18,30
1,129.0,Miami Masters,Hard,Olivier Rochus,Richard Gasquet,59,74,2010-03-24,29,23
1,67.0,Miami Masters,Hard,Roger Federer,Nicolas Lapentti,1,102,2010-03-24,28,33
1,109.0,Miami Masters,Hard,Florent Serra,Albert Montanes,61,31,2010-03-24,29,29
0,64.0,Miami Masters,Hard,Gilles Simon,Horacio Zeballos,24,58,2010-03-24,25,24
1,83.0,Miami Masters,Hard,Tomas Berdych,Thiemo De Bakker,20,76,2010-03-24,24,21
0,65.0,Miami Masters,Hard,Dudi Sela,Fernando Verdasco,71,12,2010-03-24,24,26
0,78.0,Miami Masters,Hard,Alejandro Falla,Jurgen Melzer,70,28,2010-03-24,26,28
0,82.0,Miami Masters,Hard,Juan Ignacio Chela,Marcos Baghdatis,84,30,2010-03-24,30,24
1,60.0,Miami Masters,Hard,Marin Cilic,Stephane Robert,9,63,2010-03-24,21,29
0,92.0,Miami Masters,Hard,Andy Murray,Mardy Fish,3,101,2010-03-24,22,28
1,99.0,Miami Masters,Hard,Feliciano Lopez,Michael Berrer,34,51,2010-03-24,28,29
1,103.0,Miami Masters,Hard,Stan Wawrinka,Kevin Anderson,23,114,2010-03-24,24,23
0,50.0,Miami Masters,Hard,Santiago Giraldo,Mikhail Youzhny,88,15,2010-03-24,22,27
0,77.0,Miami Masters,Hard,Yen Hsun Lu,Fernando Gonzalez,99,11,2010-03-24,26,29
1,142.0,Miami Masters,Hard,Juan Monaco,Marsel Ilhan,26,125,2010-03-24,25,22
0,58.0,Miami Masters,Hard,Janko Tipsarevic,Philipp Petzschner,36,53,2010-03-24,25,25
1,81.0,Miami Masters,Hard,Robin Soderling,Peter Luczak,7,75,2010-03-24,25,30
1,102.0,Miami Masters,Hard,Jo-Wilfried Tsonga,Guillermo Garcia Lopez,10,41,2010-03-24,24,26
0,150.0,Miami Masters,Hard,Michael Russell,John Isner,68,21,2010-03-24,31,24
1,70.0,Miami Masters,Hard,David Ferrer,Michael Llodra,17,65,2010-03-24,27,29
1,131.0,Miami Masters,Hard,Ivo Karlovic,Daniel Gimeno Traver,29,95,2010-03-24,31,24
1,140.0,Miami Masters,Hard,David Nalbandian,Viktor Troicki,161,35,2010-03-24,28,24
1,71.0,Miami Masters,Hard,Rafael Nadal,Taylor Dent,4,83,2010-03-24,23,28
1,80.0,Miami Masters,Hard,Andy Roddick,Igor Andreev,8,40,2010-03-24,27,26
1,79.0,Miami Masters,Hard,Sergiy Stakhovsky,Julien Benneteau,72,37,2010-03-24,24,28
1,140.0,Miami Masters,Hard,Tommy Robredo,Illya Marchenko,22,85,2010-03-24,27,22
0,89.0,Miami Masters,Hard,Eduardo Schwank,Nicolas Almagro,64,38,2010-03-24,23,24
0,91.0,Miami Masters,Hard,Sam Querrey,Jeremy Chardy,25,48,2010-03-24,22,23
1,104.0,Miami Masters,Hard,Thomaz Bellucci,James Blake,32,52,2010-03-24,22,30
1,175.0,Miami Masters,Hard,Olivier Rochus,Novak Djokovic,59,2,2010-03-24,29,22
1,92.0,Miami Masters,Hard,Roger Federer,Florent Serra,1,61,2010-03-24,28,29
0,95.0,Miami Masters,Hard,Horacio Zeballos,Tomas Berdych,58,20,2010-03-24,24,24
0,123.0,Miami Masters,Hard,Jurgen Melzer,Fernando Verdasco,28,12,2010-03-24,28,26
0,76.0,Miami Masters,Hard,Marcos Baghdatis,Marin Cilic,30,9,2010-03-24,24,21
0,90.0,Miami Masters,Hard,Feliciano Lopez,Mardy Fish,34,101,2010-03-24,28,28
0,150.0,Miami Masters,Hard,Stan Wawrinka,Mikhail Youzhny,23,15,2010-03-24,24,27
1,142.0,Miami Masters,Hard,Fernando Gonzalez,Juan Monaco,11,26,2010-03-24,29,25
1,65.0,Miami Masters,Hard,Robin Soderling,Philipp Petzschner,7,53,2010-03-24,25,25
1,82.0,Miami Masters,Hard,Jo-Wilfried Tsonga,Philipp Kohlschreiber,10,33,2010-03-24,24,26
0,101.0,Miami Masters,Hard,John Isner,Juan Carlos Ferrero,21,14,2010-03-24,24,30
0,87.0,Miami Masters,Hard,Ivo Karlovic,David Ferrer,29,17,2010-03-24,31,27
1,146.0,Miami Masters,Hard,Rafael Nadal,David Nalbandian,4,161,2010-03-24,23,28
1,56.0,Miami Masters,Hard,Andy Roddick,Sergiy Stakhovsky,8,72,2010-03-24,27,24
1,125.0,Miami Masters,Hard,Benjamin Becker,Tommy Robredo,39,22,2010-03-24,28,27
1,126.0,Miami Masters,Hard,Nicolas Almagro,Jeremy Chardy,38,48,2010-03-24,24,23
1,73.0,Miami Masters,Hard,Thomaz Bellucci,Olivier Rochus,32,59,2010-03-24,22,29
0,172.0,Miami Masters,Hard,Roger Federer,Tomas Berdych,1,20,2010-03-24,28,24
1,114.0,Miami Masters,Hard,Fernando Verdasco,Marin Cilic,12,9,2010-03-24,26,21
1,99.0,Miami Masters,Hard,Robin Soderling,Fernando Gonzalez,7,11,2010-03-24,25,29
0,60.0,Miami Masters,Hard,Juan Carlos Ferrero,Jo-Wilfried Tsonga,14,10,2010-03-24,30,24
0,117.0,Miami Masters,Hard,David Ferrer,Rafael Nadal,17,4,2010-03-24,27,23
0,81.0,Miami Masters,Hard,Benjamin Becker,Andy Roddick,39,8,2010-03-24,28,27
0,157.0,Miami Masters,Hard,Thomaz Bellucci,Nicolas Almagro,32,38,2010-03-24,22,24
0,172.0,Miami Masters,Hard,Fernando Verdasco,Tomas Berdych,12,20,2010-03-24,26,24
1,72.0,Miami Masters,Hard,Robin Soderling,Mikhail Youzhny,7,15,2010-03-24,25,27
0,91.0,Miami Masters,Hard,Jo-Wilfried Tsonga,Rafael Nadal,10,4,2010-03-24,24,23
1,79.0,Miami Masters,Hard,Andy Roddick,Nicolas Almagro,8,38,2010-03-24,27,24
0,69.0,Miami Masters,Hard,Robin Soderling,Tomas Berdych,7,20,2010-03-24,25,24
0,126.0,Miami Masters,Hard,Rafael Nadal,Andy Roddick,4,8,2010-03-24,23,27
1,103.0,Miami Masters,Hard,Andy Roddick,Tomas Berdych,8,20,2010-03-24,27,24
1,137.0,Casablanca,Clay,Martin Klizan,Alexandr Dolgopolov,212,70,2010-04-05,20,21
0,160.0,Casablanca,Clay,Teymuraz Gabashvili,Reda El Amrani,112,286,2010-04-05,24,21
0,99.0,Casablanca,Clay,Simon Greul,Jan Hajek,58,81,2010-04-05,28,26
1,75.0,Casablanca,Clay,Arnaud Clement,Ivan Navarro,80,113,2010-04-05,32,28
1,101.0,Casablanca,Clay,Potito Starace,Peter Luczak,73,75,2010-04-05,28,30
0,118.0,Casablanca,Clay,Paul Henri Mathieu,Oscar Hernandez,48,84,2010-04-05,28,31
1,47.0,Casablanca,Clay,Richard Gasquet,Olivier Rochus,74,55,2010-04-05,23,29
0,112.0,Casablanca,Clay,Daniel Koellerer,Andrey Golubev,93,88,2010-04-05,26,22
1,65.0,Casablanca,Clay,Jarkko Nieminen,Mehdi Ziadi,71,908,2010-04-05,28,23
0,90.0,Casablanca,Clay,Santiago Ventura,Florent Serra,123,57,2010-04-05,30,29
1,127.0,Casablanca,Clay,Stephane Robert,Stefan Koubek,65,124,2010-04-05,29,33
1,122.0,Casablanca,Clay,Marcel Granollers,Robin Haase,87,207,2010-04-05,23,22
1,122.0,Casablanca,Clay,Stan Wawrinka,Martin Klizan,23,212,2010-04-05,25,20
1,108.0,Casablanca,Clay,Reda El Amrani,Jan Hajek,286,81,2010-04-05,21,26
1,97.0,Casablanca,Clay,Lukasz Kubot,Arnaud Clement,42,80,2010-04-05,27,32
0,67.0,Casablanca,Clay,Oscar Hernandez,Potito Starace,84,73,2010-04-05,31,28
0,45.0,Casablanca,Clay,Andrey Golubev,Richard Gasquet,88,74,2010-04-05,22,23
0,103.0,Casablanca,Clay,Jarkko Nieminen,Victor Hanescu,71,43,2010-04-05,28,28
1,85.0,Casablanca,Clay,Florent Serra,Stephane Robert,57,65,2010-04-05,29,29
0,87.0,Casablanca,Clay,Marcel Granollers,Guillermo Garcia Lopez,87,40,2010-04-05,23,26
0,62.0,Casablanca,Clay,Reda El Amrani,Stan Wawrinka,286,23,2010-04-05,21,25
1,62.0,Casablanca,Clay,Potito Starace,Lukasz Kubot,73,42,2010-04-05,28,27
1,154.0,Casablanca,Clay,Victor Hanescu,Richard Gasquet,43,74,2010-04-05,28,23
0,75.0,Casablanca,Clay,Guillermo Garcia Lopez,Florent Serra,40,57,2010-04-05,26,29
0,154.0,Casablanca,Clay,Potito Starace,Stan Wawrinka,73,23,2010-04-05,28,25
0,63.0,Casablanca,Clay,Florent Serra,Victor Hanescu,57,43,2010-04-05,29,28
1,78.0,Casablanca,Clay,Stan Wawrinka,Victor Hanescu,23,43,2010-04-05,25,28
0,81.0,Houston,Clay,Donald Young,Kevin Anderson,141,108,2010-04-05,20,23
1,106.0,Houston,Clay,Dudi Sela,Jesse Levine,69,110,2010-04-05,25,22
0,85.0,Houston,Clay,Conor Niland,Somdev Devvarman,228,116,2010-04-05,28,25
0,71.0,Houston,Clay,Marcos Daniel,Eduardo Schwank,111,61,2010-04-05,31,23
0,115.0,Houston,Clay,Evgeny Korolev,Ryan Sweeting,60,150,2010-04-05,22,22
1,90.0,Houston,Clay,Nicolas Massu,Mischa Zverev,94,86,2010-04-05,30,22
1,128.0,Houston,Clay,Blaz Kavcic,Denis Istomin,100,79,2010-04-05,23,23
1,93.0,Houston,Clay,Mikhail Kukushkin,Michael Yani,131,149,2010-04-05,22,29
0,105.0,Houston,Clay,Jerzy Janowicz,Wayne Odesnik,293,103,2010-04-05,19,24
0,94.0,Houston,Clay,Nick Lindahl,Xavier Malisse,210,89,2010-04-05,21,29
0,115.0,Houston,Clay,Kevin Anderson,Fernando Gonzalez,108,11,2010-04-05,23,29
1,54.0,Houston,Clay,Horacio Zeballos,Dudi Sela,54,69,2010-04-05,24,25
0,114.0,Houston,Clay,Somdev Devvarman,Lleyton Hewitt,116,27,2010-04-05,25,29
1,122.0,Houston,Clay,Juan Ignacio Chela,Eduardo Schwank,82,61,2010-04-05,30,23
0,205.0,Houston,Clay,Ryan Sweeting,Nicolas Massu,150,94,2010-04-05,22,30
1,60.0,Houston,Clay,Sam Querrey,Blaz Kavcic,25,100,2010-04-05,22,23
0,111.0,Houston,Clay,Mikhail Kukushkin,Wayne Odesnik,131,103,2010-04-05,22,24
0,156.0,Houston,Clay,John Isner,Xavier Malisse,21,89,2010-04-05,24,29
1,89.0,Houston,Clay,Horacio Zeballos,Fernando Gonzalez,54,11,2010-04-05,24,29
0,72.0,Houston,Clay,Lleyton Hewitt,Juan Ignacio Chela,27,82,2010-04-05,29,30
1,110.0,Houston,Clay,Sam Querrey,Nicolas Massu,25,94,2010-04-05,22,30
0,82.0,Houston,Clay,Xavier Malisse,Wayne Odesnik,89,103,2010-04-05,29,24
0,91.0,Houston,Clay,Horacio Zeballos,Juan Ignacio Chela,54,82,2010-04-05,24,30
1,168.0,Houston,Clay,Sam Querrey,Wayne Odesnik,25,103,2010-04-05,22,24
0,145.0,Houston,Clay,Sam Querrey,Juan Ignacio Chela,25,82,2010-04-05,22,30
1,122.0,Monte Carlo Masters,Clay,Florent Serra,Stephane Robert,67,64,2010-04-11,29,29
1,71.0,Monte Carlo Masters,Clay,Ernests Gulbis,Marco Chiudinelli,44,59,2010-04-11,21,28
0,69.0,Monte Carlo Masters,Clay,Victor Hanescu,Stan Wawrinka,39,20,2010-04-11,28,25
0,69.0,Monte Carlo Masters,Clay,Horacio Zeballos,Tommy Robredo,47,23,2010-04-11,24,27
0,111.0,Monte Carlo Masters,Clay,Lukasz Kubot,Viktor Troicki,41,37,2010-04-11,27,24
0,68.0,Monte Carlo Masters,Clay,Andreas Beck,David Nalbandian,55,151,2010-04-11,24,28
0,92.0,Monte Carlo Masters,Clay,Simone Bolelli,Igor Andreev,114,50,2010-04-11,24,26
0,75.0,Monte Carlo Masters,Clay,Marcos Baghdatis,Albert Montanes,29,32,2010-04-11,24,29
0,65.0,Monte Carlo Masters,Clay,Feliciano Lopez,Tomas Berdych,35,15,2010-04-11,28,24
1,126.0,Monte Carlo Masters,Clay,Richard Gasquet,Daniel Gimeno Traver,75,100,2010-04-11,23,24
1,148.0,Monte Carlo Masters,Clay,Julien Benneteau,Alexandr Dolgopolov,36,72,2010-04-11,28,21
1,74.0,Monte Carlo Masters,Clay,Michael Llodra,Fabio Fognini,66,57,2010-04-11,29,22
1,89.0,Monte Carlo Masters,Clay,Andrey Golubev,Jeremy Chardy,85,43,2010-04-11,22,23
0,97.0,Monte Carlo Masters,Clay,Peter Luczak,David Ferrer,76,17,2010-04-11,30,28
1,89.0,Monte Carlo Masters,Clay,Jurgen Melzer,Paul Henri Mathieu,27,48,2010-04-11,28,28
0,138.0,Monte Carlo Masters,Clay,Guillermo Garcia Lopez,Philipp Petzschner,42,49,2010-04-11,26,26
1,144.0,Monte Carlo Masters,Clay,Philipp Kohlschreiber,Thomaz Bellucci,33,31,2010-04-11,26,22
1,118.0,Monte Carlo Masters,Clay,Nicolas Almagro,Simon Greul,34,58,2010-04-11,24,28
1,76.0,Monte Carlo Masters,Clay,Benjamin Becker,Bernard Tomic,40,295,2010-04-11,28,17
1,69.0,Monte Carlo Masters,Clay,Juan Carlos Ferrero,Marcel Granollers,16,89,2010-04-11,30,24
1,116.0,Monte Carlo Masters,Clay,Juan Monaco,Jarkko Nieminen,24,68,2010-04-11,26,28
0,64.0,Monte Carlo Masters,Clay,Evgeny Korolev,Michael Berrer,71,51,2010-04-11,22,29
0,94.0,Monte Carlo Masters,Clay,Eduardo Schwank,Thiemo De Bakker,61,77,2010-04-11,23,21
1,83.0,Monte Carlo Masters,Clay,Novak Djokovic,Florent Serra,2,67,2010-04-11,22,29
0,71.0,Monte Carlo Masters,Clay,Ernests Gulbis,Stan Wawrinka,44,20,2010-04-11,21,25
1,75.0,Monte Carlo Masters,Clay,Tommy Robredo,Viktor Troicki,23,37,2010-04-11,27,24
0,175.0,Monte Carlo Masters,Clay,Mikhail Youzhny,David Nalbandian,13,151,2010-04-11,27,28
0,171.0,Monte Carlo Masters,Clay,Igor Andreev,Marin Cilic,50,9,2010-04-11,26,21
1,125.0,Monte Carlo Masters,Clay,Albert Montanes,Andreas Seppi,32,46,2010-04-11,29,26
0,57.0,Monte Carlo Masters,Clay,Richard Gasquet,Tomas Berdych,75,15,2010-04-11,23,24
1,75.0,Monte Carlo Masters,Clay,Fernando Verdasco,Julien Benneteau,12,36,2010-04-11,26,28
1,99.0,Monte Carlo Masters,Clay,Ivan Ljubicic,Michael Llodra,14,66,2010-04-11,31,29
1,70.0,Monte Carlo Masters,Clay,David Ferrer,Andrey Golubev,17,85,2010-04-11,28,22
0,93.0,Monte Carlo Masters,Clay,Jurgen Melzer,Philipp Petzschner,27,49,2010-04-11,28,26
0,64.0,Monte Carlo Masters,Clay,Andy Murray,Philipp Kohlschreiber,4,33,2010-04-11,22,26
1,125.0,Monte Carlo Masters,Clay,Jo-Wilfried Tsonga,Nicolas Almagro,10,34,2010-04-11,24,24
1,80.0,Monte Carlo Masters,Clay,Juan Carlos Ferrero,Benjamin Becker,16,40,2010-04-11,30,28
1,101.0,Monte Carlo Masters,Clay,Michael Berrer,Juan Monaco,51,24,2010-04-11,29,26
0,60.0,Monte Carlo Masters,Clay,Thiemo De Bakker,Rafael Nadal,77,3,2010-04-11,21,23
1,101.0,Monte Carlo Masters,Clay,Novak Djokovic,Stan Wawrinka,2,20,2010-04-11,22,25
1,89.0,Monte Carlo Masters,Clay,David Nalbandian,Tommy Robredo,151,23,2010-04-11,28,27
1,96.0,Monte Carlo Masters,Clay,Albert Montanes,Marin Cilic,32,9,2010-04-11,29,21
0,153.0,Monte Carlo Masters,Clay,Tomas Berdych,Fernando Verdasco,15,12,2010-04-11,24,26
0,91.0,Monte Carlo Masters,Clay,Ivan Ljubicic,David Ferrer,14,17,2010-04-11,31,28
0,93.0,Monte Carlo Masters,Clay,Philipp Petzschner,Philipp Kohlschreiber,49,33,2010-04-11,26,26
0,135.0,Monte Carlo Masters,Clay,Jo-Wilfried Tsonga,Juan Carlos Ferrero,10,16,2010-04-11,24,30
1,54.0,Monte Carlo Masters,Clay,Rafael Nadal,Michael Berrer,3,51,2010-04-11,23,29
1,80.0,Monte Carlo Masters,Clay,Novak Djokovic,David Nalbandian,2,151,2010-04-11,22,28
0,126.0,Monte Carlo Masters,Clay,Albert Montanes,Fernando Verdasco,32,12,2010-04-11,29,26
1,121.0,Monte Carlo Masters,Clay,David Ferrer,Philipp Kohlschreiber,17,33,2010-04-11,28,26
